,name,description,reasoning,step
63,Structured Annotation Layer,"A Google Docs Add-on that allows Dora to highlight any text and add a structured, non-printing note instead of typing directly into the document. When she highlights a quote, a small pop-up appears with fields for '[My Thought]' and '[Action Item]'. These annotations are stored as metadata and can be viewed in a filterable sidebar or toggled on/off as an overlay, keeping the main document clean.","This tool improves upon Dora's current workflow of mixing notes into the document text. It anticipates her future need for a clean, shareable document by separating the source material (quotes) from her personal analysis from the very beginning, making collaboration and final compilation easier.",6
64,Rebuttal Workload Dashboard,"A sidebar Add-on that visualizes the effort required for the camera-ready version. It automatically parses all 'TODO:' items and allows Dora to assign an 'Effort' score (e.g., 1-5) to each. The dashboard then displays a summary graph showing the total workload, the distribution of effort (e.g., how many 'high effort' tasks exist), and which co-author is assigned the most work. This provides a real-time sanity check on the promises being made.","Dora is currently making promises ('TODO:') without a clear view of the cumulative effort. Before finalizing the rebuttal, she and her team will need to assess if the proposed changes are feasible. This tool provides an immediate, high-level overview of the workload, preventing over-commitment.",6
65,Response Zone Assigner,"A collaborative GDoc tool. Dora can select a whole theme block (heading, quotes, and her notes) and convert it into a 'Response Zone'. She can then assign this zone to a co-author. For the assigned co-author, the zone becomes editable, while for others it is locked. The zone also contains a private sub-thread for discussion between Dora and the assignee, keeping strategic conversations tied to their context.","After initial synthesis, Dora's next step will likely involve delegating responses to co-authors. This tool formalizes the hand-off process, preventing confusion about who is responsible for which point and containing all relevant materials (quotes, notes, discussion) in one self-contained unit.",6
66,Collaborative Strategy Poll,"A Google Docs commenting feature. When Dora is unsure how to respond to a point, she can initiate a 'Strategy Poll' in a comment. She can propose 2-3 short response strategies (e.g., 'A: Clarify misunderstanding', 'B: Agree and promise to fix'). Co-authors receive a notification and can vote on the options within the comment thread. The results are displayed visually, helping the team quickly reach a consensus.","Dora is currently writing her own thoughts, but rebuttal writing is a team effort. This tool facilitates the future action of deciding on a final strategy for contentious points by providing a fast, structured way to gather co-author feedback, rather than relying on long, unstructured comment chains.",6
67,Dual-Mode Editor,"A Google Docs Add-on that provides a toggle between two viewing modes. 'Workbench Mode' shows all document content, including reviewer quotes, personal annotations (like 'Dora: XYZ'), and action items ('TODO: XYZ'). 'Submission Preview Mode' instantly hides all annotations and quotes, displaying only the formal response text, concatenated and cleanly formatted. Edits can be made in either mode and are synchronized, allowing for live preview of the final submission document while writing.","After organizing her points (Action 8), Dora's next step is to draft the formal rebuttal. This tool addresses the need to write and edit within a messy working document while constantly needing to check what the clean, submittable version will look like and how it flows.",7
68,Camera-Ready Commitment Ledger,"This tool parses all 'TODO: XYZ' items from the Google Doc into a dashboard. For each item, Dora can assign a co-author, estimate the workload (in hours or days), and set a priority. The tool then visualizes these commitments on a timeline leading up to the camera-ready deadline, highlighting potential over-commitments or scheduling conflicts. It can also sync these tasks to an external project manager like Trello or Asana.","Dora is currently creating 'TODO' items as she synthesizes reviews (Action 7). This tool helps her manage the downstream consequences of these promises by turning them into a concrete, actionable project plan for the next version of the paper.",7
69,Internal Consistency Sentinel,"An AI-powered background tool that analyzes the text of the drafted rebuttal in real-time. It identifies and flags potential self-contradictions in the arguments being made. For example, if a response to Reviewer 1 promises a new experiment, while a response to Reviewer 2 argues the current evaluation is sufficient, the tool will highlight both statements and ask the user to resolve the inconsistency.","As Dora drafts responses to different points, she may inadvertently introduce conflicting arguments. This tool prevents such errors by providing automated proofreading for logical consistency across the entire document, which is a critical step after initial drafting.",7
70,Elastic Budget Manager,"A visual character count manager. Dora sets a single, total character limit for the entire rebuttal. The tool displays a persistent bar graph where each section (e.g., 'Response to Theme 1') has a bar representing its character usage. As she types more in one section, its bar grows while the potential space for all other sections visually shrinks, creating a dynamic, zero-sum visualization of the space trade-offs she is making in real-time.","Dora has prioritized her sections (Action 8) and will next need to draft responses within a strict character limit. This tool elevates simple character counting by forcing a conscious, visual decision about how to allocate a finite resource across her prioritized points.",7
71,Peer Review Overlay,"A collaborative mode for Google Docs. When a co-author activates this mode, their edits do not change the document directly. Instead, their proposed additions, deletions, and comments appear as a non-destructive, color-coded overlay. Dora, as the lead, can then review these suggestions and click to 'accept' or 'reject' each one individually, which then applies the change to the main document.","The next logical step after Dora's solo drafting is sharing the work with co-authors. This tool provides a structured review process similar to a GitHub pull request, preventing chaotic direct edits and giving Dora clear control over the final text.",7
72,Core Critique Responder,"An interactive tool that scaffolds the writing process for a single theme. After Dora groups reviewer quotes, she selects the group. The tool first generates a one-sentence summary of the core critique. It then presents a structured form with fields for 'Acknowledge', 'Counter-Argument', 'Evidence from Paper', and 'Promised Action'. After filling the fields, the tool assembles the inputs into a well-structured paragraph draft.","This tool directly supports the transition from synthesizing quotes (Action 6) to drafting a response. It structures the cognitive task of forming an argument, ensuring all key rhetorical components are included for a robust and persuasive response.",7
73,Response Flow Assistant,"This tool leverages the user's manual ordering of rebuttal sections. As Dora finishes writing the response for one section, the tool suggests context-aware transition phrases for the beginning of the next section. For example, it might suggest, 'While the concern about novelty is our primary focus, we now turn to the related point about our experimental setup,' creating a cohesive narrative flow through the document.","Dora has just reordered her sections by priority (Action 8). This tool uses that deliberate structure to help her craft a document that reads as a single, flowing argument rather than a disjointed list of answers, improving the rebuttal's overall quality.",7
74,Contribution Fingerprinter,"This tool integrates with the version history of the paper's original source (e.g., Overleaf or Google Docs). It analyzes the source to determine which co-author wrote or significantly edited which sections of the submitted paper. When a reviewer's comment is linked to a specific part of the paper, the tool automatically suggests assigning the rebuttal response to the co-author with the corresponding 'fingerprint', ensuring the person with the most context handles it.","To effectively draft responses, Dora will need to collaborate. This tool automates the process of assigning tasks by using the paper's history to identify the most qualified co-author for each point, making collaboration more efficient.",7
75,Persuasion Strategy Auditor,"A final-stage analysis tool. It scans the complete draft rebuttal and classifies each response based on its underlying rhetorical strategy (e.g., 'Correcting Misunderstanding', 'Agree & Promise Fix', 'Politely Disagree'). It then presents a dashboard summarizing the strategies used, such as 'You have 4 'Promises' and 2 'Disagreements'. Both disagreements are with Reviewer 2.' This provides a high-level strategic overview of the rebuttal's persuasive stance.","Before submission, Dora will need to perform a final review for tone and strategy. This tool automates that review, helping her see the overall shape of her argument and identify potential issues, like appearing overly defensive to a specific reviewer.",7
76,Rebuttal Argument Composer,"An AI tool that synthesizes Dora's informal notes into a formal draft. For a given theme, it ingests the aggregated reviewer quotes, Dora's 'Dora: XYZ' notes, and her 'TODO: XYZ' items. It then generates a structured paragraph that professionally acknowledges the reviewer's point, incorporates the core of Dora's planned argument, and seamlessly integrates the promised 'TODO' as a future commitment.","Dora has populated her synthesis with informal notes and action items (Action 7). This tool directly facilitates the next step of drafting by acting as an intelligent assistant that translates these raw, disconnected thoughts into a cohesive, formal paragraph, significantly accelerating the writing process.",7
77,Unified Feedback Inbox,"A sidebar in Google Docs that connects to Dora's Slack. It automatically pulls in all replies from the specific Slack thread where she shared the document link, along with all new Google Doc comments. Each piece of feedback is presented as an actionable item in a unified list, which can be sorted, filtered by author, and marked as 'resolved' or 'needs discussion'.","Dora just initiated a feedback process on Slack for her Google Doc, creating two separate streams of input. This tool will centralize all collaborator feedback into one manageable interface directly within her primary workspace, preventing comments from being missed and streamlining the review of her team's suggestions.",8
78,Feedback-to-Task Converter,"A Google Docs Add-on that allows Dora to act on collaborator feedback with a single click. When hovering over a GDoc comment or an imported Slack message from the 'Unified Feedback Inbox', an 'Assign Task' button appears. Clicking it converts the comment's text into a task in a shared checklist and assigns it to the commenter (or someone else), directly turning suggestions into accountable action items.","The next step after discussion is execution. This tool directly connects the feedback Dora is about to receive with the actions that need to be taken, bridging the gap between her synthesis document and the actual work of drafting the rebuttal or planning paper revisions.",8
79,Collaborative AI Draft Partner,"An AI-powered assistant within the Google Docs comment section. After the team agrees on a strategy for a point, Dora can invoke the AI, which reads the reviewer's quote, her notes, and the strategy discussion to generate a first draft of the rebuttal response. Collaborators can then leave feedback on the AI's draft, and the AI will iteratively refine the text based on their suggestions.","Translating the synthesized points and informal notes into polished rebuttal prose is a key next step. This tool automates the initial drafting, using the rich context of the team's discussion to produce a strong starting point, and facilitates a collaborative refinement process.",8
80,Camera-Ready Promise Planner,"A tool that automatically parses the document for all text formatted as 'TODO: XYZ'. It extracts these into a dedicated 'Camera-Ready Plan' tab within the GDoc. For each extracted promise, it uses semantic analysis to find the most relevant figure, table, or section in the original submitted PDF and suggests a smart link, connecting the promise directly to the part of the paper that needs revision.","Dora is already creating a list of promises ('TODOs') for the final paper. This tool formalizes that list, making it an actionable plan and, crucially, links each task to its specific context within the paper itself, which will be vital for the post-rebuttal revision phase.",8
81,Discussion Hotspot Visualizer,"A GDoc Add-on that provides a 'heat map' overlay on the synthesis document. It analyzes the comment threads and applies a color gradient to the text—from cool blue (few or resolved comments) to warm red (many unresolved comments, high back-and-forth replies). This gives Dora an instant visual summary of which points are most contentious or require the most urgent attention from the team.","As Dora's collaborators begin providing feedback, the document will become filled with discussions. This tool will help her immediately identify the most critical and debated points, allowing her to prioritize where she focuses the team's energy to achieve consensus.",8
82,Asynchronous Rebuttal Huddle,"For a particularly complex reviewer point, Dora can initiate a 'Huddle'. This creates a temporary, structured forum in the GDoc sidebar focused on that single point. It presents the evidence (reviewer quotes, Dora's notes) and prompts collaborators to answer specific questions (e.g., 'What is our core counter-argument?', 'What evidence from the paper supports this?') within a set time frame (e.g., 24 hours). Afterwards, it generates a summary of the inputs.","Coordinating a real-time meeting with her advisors and co-authors will be difficult. This tool facilitates focused, deep discussion on the hardest problems asynchronously, ensuring that complex decisions can be made efficiently without needing to align schedules.",8
83,Strategy Lock-In Tool,"For each of Dora's synthesized themes, this tool adds a 'Strategy' dropdown menu with options like ['Acknowledge & Fix', 'Clarify Misunderstanding', 'Respectfully Disagree']. Once the team agrees and selects an option, the tool adds a formal tag to that section. It can then offer context-aware writing templates or flag draft text that seems to contradict the locked-in strategy.","After discussion, the team needs to commit to a specific argumentative approach for each point. This tool formalizes that commitment directly in the document, creating a clear, agreed-upon plan that guides the subsequent writing process and ensures consistency.",8
84,Slack Rebuttal Assistant,"A bot for the #dora-advising Slack channel that is linked to the synthesis Google Doc. Team members can issue commands like '/rebuttal status' to get a summary of progress, '/rebuttal get_point ""Novelty""' to pull the relevant quotes and notes into Slack, or '/rebuttal assign ""Evaluation concerns"" to @coauthor' to create tasks in the GDoc directly from chat.","Dora initiated the feedback loop in Slack, indicating it's a central communication hub for her team. This tool allows the team to query status and perform quick management actions from within Slack, reducing the need to constantly switch back to the GDoc and integrating the tool into their existing workflow.",8
85,Rebuttal Role Definer,"A GDoc sidebar where Dora can define roles for the rebuttal process (e.g., 'Lead Strategist', 'Primary Drafter for R1', 'Tone & Polish Editor'). She can assign these roles to collaborators. The tool then provides role-specific views or permissions; for instance, the 'Primary Drafter' for a section might have exclusive editing rights to the response box for a period, preventing conflicting edits.","To manage the collaborative effort efficiently, clear roles are needed. This tool moves beyond simple task assignment to define and enforce responsibilities for the rebuttal process itself, ensuring that everyone knows their specific contribution and preventing a 'too many cooks' problem during the drafting phase.",8
86,Rebuttal Response Composer,"A Google Docs Add-on with a dynamic, context-aware sidebar. When the user places their cursor under a heading in their 'Rebuttal' draft (e.g., 'Response to Novelty Concerns'), the sidebar automatically finds the corresponding theme in the 'Review Synthesis' tab and displays three things: 1) The aggregated reviewer quotes for that theme. 2) The user's informal notes and TODOs for that theme. 3) An AI-powered 'Refine Note' button that transforms the informal notes into a professionally worded paragraph suitable for the rebuttal, which can be inserted directly into the document.",This tool directly supports the user's next action of drafting the rebuttal by eliminating the need to switch between tabs or documents to see her synthesized points and raw notes. It streamlines the cognitive load of translating informal thoughts into a formal response by providing an AI-assisted starting point.,10
87,Rhetorical Style Importer,"A Google Docs Add-on that analyzes a provided example rebuttal (like the 'DeduceIt' one the user is viewing). It extracts the example's structural hierarchy (headings, subheadings) and allows the user to apply it as a template to their own rebuttal draft with one click. It also extracts common phrases, categorizes them by rhetorical intent (e.g., 'Acknowledging a flaw', 'Politely disagreeing'), and makes them available in a searchable sidebar to help the user adopt a successful writing style.","The user is currently studying an example rebuttal to guide her writing. This tool automates the process of learning from that example, helping her structure her document and choose effective language without manually deconstructing the example document herself.",10
88,Rebuttal Command Center,A persistent sidebar in Google Docs that provides a live dashboard for managing the rebuttal. It features three integrated modules: 1) A 'Character Budget' module that tracks the total character count against the conference limit. 2) A 'Coverage Tracker' that displays a checklist of all themes from the 'Review Synthesis' tab and automatically marks them as complete as the user writes the corresponding sections in the draft. 3) A 'Promise Ledger' that automatically extracts all 'TODO:' items to create a list of commitments for the camera-ready version.,"As the user drafts her rebuttal, she will need to manage length, ensure all points are addressed, and keep track of promises made. This tool consolidates these critical monitoring tasks into a single, live view, preventing her from having to stop writing to manually check these details.",10
89,Diplomatic Reframing Tool,"An AI-powered tool accessible via the right-click menu in Google Docs. The user can highlight her own informal, blunt note (e.g., 'R1 is wrong, they missed Sec 4.2') and select 'Reframe Diplomatically'. The tool generates several alternative phrasings that acknowledge the reviewer's point before gently correcting the misunderstanding, using professional and non-confrontational language.","Writing a rebuttal requires a specific, diplomatic tone, especially when disagreeing with a reviewer. This tool directly aids in crafting these sensitive responses, helping the user convert her direct internal thoughts into persuasive prose that is less likely to alienate the reviewers.",10
90,In-Line Evidence Linker,"A Google Docs Add-on that connects to the user's submitted PDF. As the user writes references in her rebuttal draft (e.g., '...as shown in Figure 3' or '...detailed in Section 4.2'), the tool automatically creates a smart chip. Hovering over the chip shows a thumbnail preview of the corresponding figure or section from the PDF. If a reference is invalid (e.g., 'Figure 10' doesn't exist), the chip turns red as a visual warning.","The user will need to frequently reference her original paper to support her claims. This tool makes the process of verifying these references seamless and error-proof, embedding the evidence directly into the writing context and preventing embarrassing errors in the final submission.",10
91,Institutional Knowledge Base,"A shared snippet library integrated into Google Docs for the user's research group. When a lab member (including the user) writes a particularly effective rebuttal response, they can select it and save it to the shared library with tags (e.g., '#disagreement', '#UIST', '#methodology'). When writing a new rebuttal, the user can search this library to find and reuse battle-tested, successful phrasing from her and her colleagues' past work.","The user is currently referencing past work from her lab. This tool formalizes and enhances that process, creating a living, searchable repository of best practices that allows the entire lab to benefit from each individual's experience, improving the quality and efficiency of future rebuttals.",10
92,Narrative Consistency Analyzer,"An AI tool that performs a holistic analysis of the entire rebuttal draft. It reads all the individual responses and generates a report that: 1) Summarizes the main argument for each section. 2) Flags potential internal contradictions (e.g., claiming a limitation in response to R1 but a strength in response to R2). 3) Identifies 'dropped threads' where an issue mentioned in the introduction is not fully addressed in the body.","When writing a response piece by piece, it's easy to lose sight of the overall narrative or introduce subtle contradictions. This tool acts as an AI proofreader that checks for logical and narrative consistency across the entire document before the user shares it with co-authors.",10
93,Conciseness Coach,"An interactive Google Docs Add-on that helps the user meet strict character limits. When the user highlights a sentence or paragraph, the tool provides suggestions for making it more concise. It visually flags filler words, suggests replacing long phrases with shorter alternatives (e.g., 'in order to' -> 'to'), and provides a 'Conciseness Score' for the selected text, gamifying the editing process.","Conference rebuttals have notoriously tight length constraints, a problem the user will inevitably face while drafting. This tool provides interactive, real-time feedback to help her write concisely from the start, rather than having to painfully cut characters from a finished draft.",10
94,Persona-Based Sanity Check,"An AI tool that simulates how reviewers might perceive the draft. It first analyzes the original reviews to create a simple profile of each reviewer's priorities (e.g., R1 cares about novelty; R2 about evaluation). The user can then run the tool on her rebuttal draft, and it will provide targeted feedback, such as: 'Your response to R2 focuses on novelty but does not directly address their core concern about the evaluation's rigor.'","A successful rebuttal must speak directly to each reviewer's specific concerns. This tool helps the user ensure her arguments are well-aligned with the reviewer's original critique, acting as a 'fresh set of eyes' to check if the responses will actually be persuasive to their intended audience.",10
95,Submission Formatter,"A final-stage utility tool in Google Docs. The user designates the final rebuttal text and selects the target conference (e.g., 'UIST') from a preset list. The tool then strips all formatting, converts special characters, checks for any unsupported elements, performs a final character count according to the specific rules of that conference's submission system, and copies the clean, submission-ready plain text to the clipboard.","The final step of transferring a rebuttal from a rich text editor to a restrictive web form is tedious and error-prone. This tool automates this entire process, ensuring the final text adheres to all technical submission requirements and preventing last-minute formatting issues.",10
96,Rebuttal Evidence Scout,"A Google Docs Add-on with a sidebar. The user highlights a claim or sentence in their rebuttal draft. The tool analyzes this text and automatically generates targeted search queries for academic databases like Google Scholar and ACM DL. The search results are displayed directly in the sidebar, complete with abstracts and direct PDF links, allowing the user to find and assess supporting literature without leaving their document.","This tool directly addresses the user's current action of manually searching for literature. It streamlines the predicted next actions of refining search queries and assessing relevance by integrating the search and triage process into the writing environment, reducing context switching.",12
97,Citation Chain Explorer,"When the user finds a relevant paper, this browser extension or web tool allows them to input the paper's DOI or title. It then generates an interactive, visual graph of that paper's citation network. It highlights papers that cite the seed paper and papers cited by it, filtering them by venue (e.g., UIST, CHI), year, and author, allowing for rapid discovery of related work.","The user is currently using keyword searches, which can be limiting. This tool augments that capability by enabling discovery through citation chaining, a common but manual research task, helping her find clusters of relevant work she might otherwise miss.",12
98,Argumentative Phrase Generator,"An AI-powered Google Docs Add-on. After the user finds a supporting paper, they can link it to a claim in their rebuttal. The tool then reads the paper's abstract and suggests several professionally phrased sentences to integrate the evidence into the argument, such as 'Our findings are corroborated by Smith et al., who demonstrated...' or 'This builds on prior work by Jones et al. which established...'","The user's next step after finding evidence is to integrate it into her rebuttal. This tool automates the often tedious task of crafting sentences that correctly and persuasively connect her claims to the evidence she has found, saving time and improving the quality of her writing.",12
99,Semantic Query Expander,"A search tool where the user can input not just keywords, but an entire sentence or paragraph from a reviewer's comment. The tool uses natural language processing to identify the core concepts and searches academic databases for papers related to that semantic meaning, even if they use different terminology. The results are ranked by their conceptual similarity to the input text.","The user's current keyword search ('UIST + sociotechnical') is broad and may miss relevant work that uses different jargon. This tool helps overcome the limitations of keyword search, allowing her to find more relevant papers based on the actual concepts in the reviewers' critiques.",12
100,Adversarial Search Assistant,"A special search mode in an academic search engine. The user inputs a claim from their rebuttal, and the tool specifically searches for literature that contradicts, challenges, or presents limitations to that claim. It flags conflicting findings and alternative approaches presented in the literature.","A strong rebuttal anticipates counter-arguments. This tool helps the user proactively find potential weaknesses in her arguments by searching for disconfirming evidence, allowing her to strengthen her claims before the reviewers can poke holes in them.",12
101,Cross-Venue Relevance Analyzer,"A browser extension that enhances Google Scholar or ACM DL results. When the user performs a search, it analyzes each resulting paper and adds a 'Relevance to UIST' score. This score is calculated based on how frequently the paper, its authors, or its cited works appear in the proceedings of the target conference (UIST), providing a signal of community relevance beyond the publication venue itself.","The user is manually filtering by conference, but important related work can exist in adjacent fields. This tool automates and improves that filtering process by providing a more nuanced relevance signal, helping her identify influential papers from outside the immediate conference community.",12
102,Query-Focused Abstract Summarizer,"A feature within a search interface. When the user hovers over a search result, this tool provides a short, AI-generated summary of the abstract. The summary is specifically tailored to answer the question 'How does this paper relate to your search query?' instead of being a generic summary, allowing for much faster assessment of relevance.","The user's next action involves scrolling through papers and reading abstracts to assess relevance, which is time-consuming. This tool accelerates that triage process by providing instant, context-specific summaries, allowing her to evaluate more papers in less time.",12
103,Rebuttal Reference Manager,"A lightweight citation manager integrated into the Google Docs sidebar. The user can add papers they find to a project library. The tool allows for one-click insertion of formatted citations into the text and automatically generates a bibliography. Crucially, it tracks the character count of both the rebuttal text and the generated bibliography separately, helping the user budget space for references.","Managing citations and adhering to strict character limits is a key challenge in rebuttals. This tool addresses the specific pain point of budgeting space for references, which is a detail often overlooked by general-purpose character counters.",12
104,Paper Similarity Projector,"After finding an initial set of relevant papers, the user can upload them to this tool. The tool then analyzes these papers and performs a 'projection' search, looking for other papers in a vast database that are semantically similar in their methodology, problem space, or proposed solution. It presents new, undiscovered papers that are 'like' the ones she has already approved.","This tool provides a powerful new vector for discovery beyond keywords or direct citations. It helps automate the intuition of 'find me more papers like these,' which is a key part of the research process that the user is currently engaged in.",12
105,Overleaf Project Bridge,"A Google Docs Add-on that securely connects to the user's Overleaf project. It provides a sidebar to search the .tex source files directly from Google Docs. The user can find and insert verifiable, dynamic links to sections, figures, or tables (e.g., 'Section 3.1') into their rebuttal draft. Hovering over these links in the GDoc shows a preview snippet of the referenced content from the paper.","This directly addresses the inefficiency in the user's current action (13) of manually switching to Overleaf to find references in her own paper, streamlining the process of grounding rebuttal claims in the paper's content.",13
106,Promise Aggregator & Task Manager,"A tool that scans the entire Google Doc ('UIST Reviews - Knoll'). It extracts all text formatted as a 'TODO:' from the synthesis tab and all sentences implying future work (e.g., 'We will add...') from the final rebuttal draft. It then consolidates these into a single, de-duplicated checklist in a new tab, linking each task back to the original reviewer comment that prompted it.","The user is currently creating promises in two places (informal TODOs and formal rebuttal text). This tool automates the future, crucial task of consolidating these commitments into a single action plan for the camera-ready revision.",13
107,Argument Cross-Examiner,"An AI-powered tool that performs a holistic analysis of the complete rebuttal draft. It identifies and flags potential logical or strategic contradictions between different responses. For example, it would highlight if the response to R1 defends the study's scope as 'intentionally narrow' while the response to R3 promises to 'broaden the evaluation'.","As the user drafts responses to individual points (action 11), it's easy to lose track of the overall narrative. This tool helps with the future task of ensuring the final rebuttal is internally consistent and presents a coherent argument to the reviewers.",13
108,Camera-Ready Workload Forecaster,"An AI tool that reads the promises made in the rebuttal draft. It uses a model trained on academic publications to classify each promised task (e.g., 'rewrite introduction', 'add a new figure', 'run a follow-up study') by estimated effort (Low, Medium, High) and time. It then generates a dashboard visualizing the total workload commitment for the camera-ready version.","The user is actively making promises to revise the paper (actions 7, 11). This tool provides a real-time sanity check, helping her and her team understand the downstream consequences of their rebuttal strategy before committing to it.",13
109,Review Point Coverage Mapper,"A final-check tool within Google Docs. It displays all the synthesized review themes from the 'Review Synthesis' tab in a sidebar checklist. For each theme, the user must highlight the text in their final 'Rebuttal' draft that addresses it. The tool visually confirms the link and marks the item as 'Covered', flagging any review points that have not been addressed in the final draft.","The user has broken down reviews into themes (action 5) and is now drafting responses (action 11). This tool supports the critical future step of verifying that every single identified issue has been explicitly addressed in the rebuttal, preventing accidental omissions.",13
110,Camera-Ready Context Tagger,"An Overleaf plugin that allows the user to link text or code in her .tex file directly to a reviewer comment from her GDoc. When working on the camera-ready version weeks later, she can hover over the modified text in Overleaf to see a pop-up with the specific comment it addresses (e.g., 'This paragraph was added to clarify R2's question about novelty').","The user is currently looking up references in Overleaf (action 13). This tool closes the loop, ensuring that when she later revises the paper based on the rebuttal, the original context and motivation for each change are preserved directly within her writing environment.",13
111,Rebuttal-to-Paper Synchronized Viewer,"A web application that provides a split-screen view. The left pane loads the user's Google Doc rebuttal draft. The right pane loads the rendered PDF of their Overleaf paper. As the user clicks on different response sections in the Google Doc, the PDF view on the right automatically scrolls to the most relevant section or figure being discussed.","This tool radically improves the workflow shown in action 13. Instead of manually searching her paper, the user can maintain visual context between her argument and the evidence in her paper simultaneously, reducing context switching and improving accuracy.",13
112,Final Polish Review Mode,"A Google Docs mode designed for co-author review of the final draft. It locks the main text but allows collaborators to make 'Suggestions' which are categorized (e.g., Typo, Conciseness, Clarity). The tool shows the character count impact of each suggestion (e.g., '-15 chars') and allows the lead author to accept/reject them with a single click.","After drafting, the user will likely seek feedback from co-authors (similar to action 9). This tool structures that final, high-stakes feedback process, focusing it on polish and conciseness while maintaining control over the character-limited document.",13
113,Feedback Aggregator & Synthesizer,"A Google Docs Add-on that connects to a specified Slack channel. It scans the channel for messages that reference the Google Doc link. It then ingests those messages and any replies, converting them into structured comments within the Google Doc, attributed to the correct author and linked to the relevant Slack conversation. The tool can also be triggered to scan all existing comments in the document and generate a summary report of feedback themes, such as 'clarity concerns', 'requests for more detail', or 'wording suggestions'.","Dora's next action is to process feedback from her advising channel. This tool automates the inefficient and error-prone process of manually tracking feedback from both Slack and Google Doc comments, ensuring no suggestion is lost and providing a high-level summary of feedback to guide her revisions.",14
114,Suggestion Impact Analyzer,"An enhancement to Google Docs' 'Suggesting' mode. For every suggestion box containing an insertion or deletion, the tool displays a live character count delta (e.g., '+45 chars' or '-20 chars'). It also adds a 'What-If' panel to the sidebar, allowing Dora to select multiple pending suggestions and see the cumulative impact on the total character count before accepting any of them.","After receiving feedback, Dora will revise her draft. This tool directly addresses the critical challenge of incorporating edits while adhering to strict character limits, allowing her to make informed trade-offs between different suggestions without constant manual re-counting.",14
115,Conference Submission Simulator,"A Google Docs Add-on that provides a high-fidelity preview of the final submission. Dora selects the conference (e.g., UIST). The tool opens a sidebar that perfectly mimics the official submission system's text box, including its specific font, width, and character counting algorithm. It renders her final text, flags unsupported characters (like emojis or special symbols), and provides a 'Copy for Submission' button that places perfectly sanitized, validated plain text onto the clipboard.","Dora's final step will be submitting the rebuttal. This tool de-risks the painful and often frustrating process of transferring text from a rich editor to a restrictive web form, preventing formatting errors and last-minute character count surprises.",14
116,Overleaf Promise-Sync,"A Google Docs Add-on that securely connects to Dora's Overleaf project. The tool parses her entire rebuttal document for 'TODO:' items and phrases implying future work ('we will add...', 'we plan to revise...'). It then syncs these promises into a new `rebuttal_checklist.tex` file within the Overleaf project, formatted as a task list. Each item in the list is linked back to the GDoc comment that prompted it.","Dora has been meticulously creating 'TODO' items which represent promises for the final paper. This tool bridges the gap between the rebuttal (in GDocs) and the final revision (in Overleaf), creating a canonical, actionable checklist directly inside the environment where the work will be done, ensuring promises are not forgotten.",14
117,Feedback Conflict Resolution Panel,"A GDoc Add-on that scans all comments and suggestions on the draft. When it detects semantically opposing feedback on the same piece of text (e.g., one comment asks to 'expand' while another asks to 'shorten'), it flags the section. It then creates a special 'Resolution Thread' that pings the conflicting commenters, presents the two opposing suggestions side-by-side, and allows Dora to initiate a poll for other collaborators to vote on the best path forward.","When incorporating feedback from multiple advisors, Dora will likely encounter conflicting advice. This tool provides a structured workflow to identify, escalate, and resolve these conflicts efficiently, preventing stalemates and ensuring clear, team-aligned decisions.",14
118,Aural Sanity Checker,"A text-to-speech tool within Google Docs that reads the final rebuttal draft aloud. It offers different voice personas, such as 'Skeptical Reviewer' (a slightly critical, questioning tone), 'Supportive Advisor' (an encouraging tone), and 'Neutral Presenter' (a formal, conference-style tone). The user can control playback speed and listen section by section.","Before submission, Dora will perform a final review for tone and clarity. Hearing her own words read back in different simulated personas can reveal awkward phrasing, defensive language, or unclear arguments that are easily missed during silent reading, providing a powerful new modality for proofreading.",14
119,Rebuttal Snapshot Manager,"A Google Docs Add-on that provides granular, manual version control. At key moments (e.g., 'Pre-Feedback Draft', 'Post-Advisor-A-Edits'), Dora can click 'Create Snapshot' to save a named version of the document. The tool provides a visual timeline of these snapshots, showing the character count and a diff view between any two points, and allowing for easy restoration to a previous state.","As Dora revises the draft based on feedback, she may want to experiment with changes or backtrack. This tool offers more control than Google Docs' automatic version history, allowing her to create meaningful, labeled checkpoints of her work that are easy to compare and revert to.",14
120,One-Shot Citation Inserter,"A Google Docs sidebar where Dora can paste a paper's DOI or title. The tool instantly fetches the paper's data and presents: 1) A concise, AI-generated summary of the paper's main finding, optimized for low character count. 2) A pre-formatted citation. With one click, Dora can insert the summary into her rebuttal text and the full citation into a managed bibliography at the end, with live character count updates for both sections.","Feedback might require Dora to add new evidence, a process that is currently manual and time-consuming (steps 12 & 13). This tool dramatically accelerates the workflow of finding, summarizing, and inserting a new citation while managing the tight character budget of a rebuttal.",14
121,Pre-Submission Finalizer,"A GDoc sidebar providing a dynamic, context-aware checklist for final submission. The list is pre-populated with essential tasks (e.g., 'Run final spell check', 'Verify all themes from Synthesis tab are addressed'). It integrates with other tools by creating checklist items like 'Confirm character count in Submission Simulator'. The final 'Copy for Submission' button remains disabled until all critical tasks are checked off.","The final moments before submission are high-stress and prone to simple mistakes. This tool acts as a pilot's pre-flight checklist, formalizing the final review process and ensuring critical steps are not forgotten before Dora commits to submitting her finalized rebuttal.",14
